id,themepreset_id,primary,secondary,accent,neutral,primary_content,secondary_content,accent_content,neutral_content,base_100,base_200,base_300,base_content,success,warning,error,info,success_content,warning_content,error_content,info_content,font_body,font_heading,base_font_size,scale_ratio,section_gap,container_padding,radius_btn,radius_card,radius_input,shadow_sm,shadow_md,shadow_lg,is_system,ltext
1,light,#570df8,#f000b8,#37cdbe,#3d4451,#ffffff,#ffffff,#163835,#ffffff,#ffffff,#f2f2f2,#e5e6e6,#1f2937,#00c853,#ff9800,#ff5724,#2094f3,#ffffff,#ffffff,#ffffff,#ffffff,,,16px,1.2,4rem,1rem,0.5rem,1rem,0.5rem,0 1px 2px 0 rgb(0 0 0 / 0.05),0 4px 6px -1px rgb(0 0 0 / 0.1),0 10px 15px -3px rgb(0 0 0 / 0.1),1,a
2,dark,#661ae6,#d926aa,#1fb2a6,#191d24,#ffffff,#ffffff,#ffffff,#a6adbb,#2a303c,#242933,#1d232a,#a6adbb,#36d399,#fbbd23,#f87272,#3abff8,#000000,#000000,#000000,#000000,,,16px,1.2,4rem,1rem,0.5rem,1rem,0.5rem,0 1px 2px 0 rgb(0 0 0 / 0.05),0 4px 6px -1px rgb(0 0 0 / 0.1),0 10px 15px -3px rgb(0 0 0 / 0.1),1,b
